t; alpha; omega
887; 3.14; -6.394425e-24
888; 3.14; -5.780672e-24
889; 3.14; -5.225829e-24
890; 3.14; -4.724241e-24
891; 3.14; -4.270797e-24
892; 3.14; -3.860876e-24
893; 3.14; -3.490299e-24
894; 3.14; -3.155292e-24
895; 3.14; -2.852439e-24
896; 3.14; -2.578655e-24
897; 3.14; -2.33115e-24
898; 3.14; -2.1074e-24
899; 3.14; -1.905127e-24
900; 3.14; -1.722268e-24
901; 3.14; -1.55696e-24
902; 3.14; -1.40752e-24
903; 3.14; -1.272422e-24
904; 3.14; -1.150292e-24
905; 3.14; -1.039884e-24
906; 3.14; -9.400737e-25
907; 3.14; -8.498432e-25
908; 3.14; -7.682732e-25
909; 3.14; -6.945324e-25
910; 3.14; -6.278695e-25
911; 3.14; -5.676051e-25
912; 3.14; -5.131249e-25
913; 3.14; -4.63874e-25
914; 3.14; -4.193502e-25
915; 3.14; -3.790999e-25
916; 3.14; -3.42713e-25
917; 3.14; -3.098186e-25
918; 3.14; -2.800814e-25
919; 3.14; -2.531985e-25
920; 3.14; -2.288959e-25
921; 3.14; -2.069259e-25
922; 3.14; -1.870647e-25
923; 3.14; -1.691098e-25
924; 3.14; -1.528782e-25
925; 3.14; -1.382046e-25
926; 3.14; -1.249394e-25
927; 3.14; -1.129474e-25
928; 3.14; -1.021064e-25
929; 3.14; -9.230598e-26
930; 3.14; -8.344623e-26
931; 3.14; -7.543686e-26
932; 3.14; -6.819624e-26
933; 3.14; -6.16506e-26
934; 3.14; -5.573323e-26
935; 3.14; -5.038381e-26
936; 3.14; -4.554785e-26
937; 3.14; -4.117606e-26
938; 3.14; -3.722388e-26
939; 3.14; -3.365104e-26
940; 3.14; -3.042113e-26
941; 3.14; -2.750124e-26
942; 3.14; -2.48616e-26
943; 3.14; -2.247532e-26
944; 3.14; -2.031809e-26
945; 3.14; -1.836791e-26
946; 3.14; -1.660491e-26
947; 3.14; -1.501113e-26
948; 3.14; -1.357033e-26
949; 3.14; -1.226781e-26
950; 3.14; -1.109032e-26
951; 3.14; -1.002584e-26
952; 3.14; -9.063538e-27
953; 3.14; -8.193598e-27
954; 3.14; -7.407156e-27
955; 3.14; -6.696199e-27
956; 3.14; -6.053482e-27
957; 3.14; -5.472454e-27
958; 3.14; -4.947194e-27
959; 3.14; -4.47235e-27
960; 3.14; -4.043083e-27
961; 3.14; -3.655018e-27
962; 3.14; -3.304201e-27
963; 3.14; -2.987056e-27
964; 3.14; -2.700351e-27
965; 3.14; -2.441164e-27
966; 3.14; -2.206855e-27
967; 3.14; -1.995036e-27
968; 3.14; -1.803548e-27
969; 3.14; -1.630439e-27
970; 3.14; -1.473945e-27
971; 3.14; -1.332472e-27
972; 3.14; -1.204578e-27
973; 3.14; -1.08896e-27
974; 3.14; -9.84439e-28
975; 3.14; -8.899502e-28
976; 3.14; -8.045306e-28
977; 3.14; -7.273098e-28
978; 3.14; -6.575008e-28
979; 3.14; -5.943923e-28
980; 3.14; -5.373411e-28
981; 3.14; -4.857657e-28
982; 3.14; -4.391408e-28
983; 3.14; -3.96991e-28
984; 3.14; -3.588868e-28
985; 3.14; -3.2444e-28
986; 3.14; -2.932994e-28
987; 3.14; -2.651478e-28
988; 3.14; -2.396983e-28
989; 3.14; -2.166915e-28
990; 3.14; -1.958929e-28
991; 3.14; -1.770906e-28
992; 3.14; -1.60093e-28
993; 3.14; -1.447269e-28
994; 3.14; -1.308357e-28
995; 3.14; -1.182777e-28
996; 3.14; -1.069252e-28
997; 3.14; -9.666222e-29
998; 3.14; -8.738434e-29
999; 3.14; -7.899698e-29
1000; 3.14; -7.141466e-29
