D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.1; 91; 0.470432; -0.581857; 0.770432; -0.769357; 1,24114; 86; 0.657932; -0.669357; 1,92327; 16
0.1; 92; 0.0828959; 0.391569; -0.00460405; 0.779069; 0,621105; 112; -0.00460405; 0.579069; 1,49965; 16
0.1; 93; -0.5429; -0.65009; -0.7804; -0.77509; 1,24069; 126; -0.602252; -0.718817; 2,0582; 24
0.1; 94; 0.964337; 0.0332718; 0.776837; -0.00422822; 0,620547; 128; 0.904951; -0.0217392; 1,15486; 24
0.1; 95; -0.478342; 0.992507; -0.778342; 0.780007; 1,24096; 108; -0.537693; 0.923781; 3,04904; 24
0.1; 96; 0.930839; 0.116587; 0.780839; 0.0040869; 0,621544; 128; 0.871487; 0.0478603; 0,985121; 24
0.1; 97; 0.765273; -0.622586; 0.777773; -0.772586; 1,24011; 110; 0.765273; -0.710086; 1,36599; 16
0.1; 98; -0.442257; 0.400716; -0.0047573; 0.775716; 0,620589; 132; -0.254757; 0.588216; 2,92025; 16
0.1; 99; 0.693322; 0.712649; 0.780822; 0.775149; 1,24085; 116; 0.787454; 0.799905; 1,26478; 32
0.1; 100; -0.190984; 0.77554; -0.00348375; 0.77554; 0,620245; 90; -0.00348375; 0.77554; 0,620245; 16
