D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.5; 1; 0.593086; -0.63313; 7.35529e-06; 2.51036e-06; 1,92336e-09; 404; 0.774716; 5.96532e-10; 0,619837; 280
0.5; 2; 0.559382; 0.1937; -5.21181e-06; 0.774709; 0,619837; 388; 0.774716; 0.774716; 1,23967; 468
0.5; 3; -0.108334; -0.80005; 2.91744e-06; -0.774721; 0,619837; 314; -1.7217e-10; -0.774716; 0,619837; 332
0.5; 4; -0.0815022; -0.332583; -5.03191e-06; -2.21056e-06; 9,61856e-10; 424; 2.2534e-09; 3.32621e-10; 0; 604
0.5; 5; -0.714266; 0.301777; -0.774722; 0.774723; 1,23967; 396; -0.774716; 0.774716; 1,23967; 444
0.5; 6; -0.887177; 0.443998; -0.77472; 0.774717; 1,23967; 426; -0.774716; 0.774716; 1,23967; 560
0.5; 7; 0.877105; -0.998442; 0.774719; 1.13305e-06; 0,619837; 386; 0.774716; -4.82302e-10; 0,619837; 588
0.5; 8; 0.984423; 0.234963; 0.774722; 0.774712; 1,23967; 404; 0.774716; 0.774716; 1,23967; 396
0.5; 9; 0.223306; -0.985867; 0.774713; -0.774716; 1,23967; 408; 0.774716; -0.774716; 1,23967; 460
0.5; 10; -0.953875; 0.0495493; -0.774722; 4.03556e-06; 0,619837; 408; -0.774716; 2.71882e-09; 0,619837; 328
0.5; 11; -0.200278; -0.906669; -0.77471; -6.67612e-06; 0,619837; 890; 1.12718e-08; -0.774716; 0,619837; 264
0.5; 12; 0.947511; -0.534457; 0.774721; -2.97354e-06; 0,619837; 392; 0.774716; 2.62394e-09; 0,619837; 356
0.5; 13; -0.818787; 0.236772; -0.77472; 0.774721; 1,23967; 388; -0.774716; 0.774716; 1,23967; 524
0.5; 14; -0.235076; 0.966462; -0.774718; 0.77472; 1,23967; 410; 1.10829e-09; 0.774716; 0,619837; 312
0.5; 15; -0.0664742; 0.719881; -6.91759e-06; 0.774721; 0,619837; 314; 2.84891e-09; 0.774716; 0,619837; 368
0.5; 16; 0.360615; -0.0990015; 0.774708; -2.46979e-06; 0,619837; 414; 0.774716; -1.81232e-09; 0,619837; 336
0.5; 17; -0.97347; 0.884404; -0.774709; 0.774723; 1,23967; 374; -0.774716; 0.774716; 1,23967; 472
0.5; 18; 0.126576; -0.229167; 4.77487e-06; -0.774714; 0,619837; 412; -1.00243e-09; 2.05661e-10; 0; 260
0.5; 19; -0.968067; -0.538212; -0.774708; -4.35063e-06; 0,619837; 352; -0.774716; -2.50583e-09; 0,619837; 308
0.5; 20; -0.517949; 0.366527; -4.72568e-06; 0.774715; 0,619837; 352; 2.49696e-09; 0.774716; 0,619837; 400
