0; 0; 5; 100; 0; 
0,01; 0,0499736; 4,99475; 99,9995; -0,103522; 
0,02; 0,0998954; 4,98962; 99,9979; -0,207034; 
0,03; 0,149766; 4,98462; 99,9953; -0,310532; 
0,04; 0,199588; 4,97973; 99,9917; -0,41401; 
0,05; 0,249362; 4,97498; 99,9871; -0,517465; 
0,06; 0,299088; 4,97034; 99,9814; -0,620893; 
0,07; 0,348769; 4,96582; 99,9746; -0,724288; 
0,08; 0,398405; 4,96143; 99,9669; -0,827646; 
0,09; 0,447998; 4,95716; 99,9581; -0,930963; 
0,1; 0,497548; 4,953; 99,9483; -1,03423; 
0,11; 0,547058; 4,94897; 99,9374; -1,13746; 
0,12; 0,596528; 4,94506; 99,9255; -1,24062; 
0,13; 0,64596; 4,94127; 99,9126; -1,34373; 
0,14; 0,695354; 4,9376; 99,8986; -1,44678; 
0,15; 0,744712; 4,93405; 99,8837; -1,54976; 
0,16; 0,794036; 4,93062; 99,8676; -1,65267; 
0,17; 0,843325; 4,9273; 99,8506; -1,7555; 
0,18; 0,892582; 4,92411; 99,8325; -1,85825; 
0,19; 0,941808; 4,92103; 99,8134; -1,96092; 
0,2; 0,991003; 4,91807; 99,7933; -2,06349; 
0,21; 1,04017; 4,91523; 99,7722; -2,16598; 
0,22; 1,08931; 4,9125; 99,75; -2,26837; 
0,23; 1,13842; 4,9099; 99,7268; -2,37065; 
0,24; 1,18751; 4,9074; 99,7026; -2,47283; 
0,25; 1,23657; 4,90503; 99,6773; -2,5749; 
0,26; 1,28561; 4,90277; 99,6511; -2,67686; 
0,27; 1,33462; 4,90062; 99,6238; -2,7787; 
0,28; 1,38362; 4,89859; 99,5955; -2,88041; 
0,29; 1,4326; 4,89667; 99,5662; -2,982; 
0,3; 1,48155; 4,89487; 99,5359; -3,08346; 
0,31; 1,53049; 4,89318; 99,5045; -3,18478; 
0,32; 1,57942; 4,89161; 99,4722; -3,28597; 
0,33; 1,62833; 4,89014; 99,4388; -3,38701; 
0,34; 1,67722; 4,88879; 99,4044; -3,4879; 
0,35; 1,7261; 4,88755; 99,3691; -3,58865; 
0,36; 1,77497; 4,88643; 99,3327; -3,68924; 
0,37; 1,82383; 4,88541; 99,2953; -3,78967; 
0,38; 1,87268; 4,88451; 99,2569; -3,88993; 
0,39; 1,92152; 4,88371; 99,2175; -3,99003; 
0,4; 1,97036; 4,88303; 99,1771; -4,08996; 
0,41; 2,01918; 4,88246; 99,1357; -4,18972; 
