Iteration; x1; x2
0; 0.12248700; -0.23414600
1; 0.02248700; -0.13414600
2; 0.02248700; -0.03414600
3; 0.02248700; 0.01585400
4; -0.00251300; -0.00914600
5; -0.00251300; 0.00335400
6; -0.00251300; -0.00289600
7; 0.00061200; 0.00022900
8; -0.00016925; 0.00022900
9; -0.00016925; -0.00016162
10; 0.00002606; 0.00003369
11; -0.00002277; -0.00001514
12; 0.00000165; 0.00000927
