D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.1; 77; 0.0618692; -0.104434; 3.93435e-06; -2.52133e-06; 6,95319e-10; 374; -7.84797e-09; -3.94372e-09; 2,44249e-15; 608
0.1; 78; 0.105786; 0.185393; 4.45105e-08; 5.26451e-06; 8,82579e-10; 402; 3.41637e-07; 2.86946e-09; 3,71658e-12; 456
0.1; 79; -0.838293; -0.260691; -0.774719; 2.27902e-06; 0,619837; 356; -0.774716; 3.81373e-10; 0,619837; 520
0.1; 80; -0.51568; 0.60628; -0.774713; 0.774712; 1,23967; 338; -0.774716; 0.774716; 1,23967; 484
0.1; 81; -0.0593987; 0.966846; 6.75566e-07; 0.77472; 0,619837; 344; 3.51683e-09; 0.774716; 0,619837; 380
0.1; 82; -0.202351; 0.632864; 4.84401e-06; 0.774722; 0,619837; 364; -5.87565e-09; 0.774716; 0,619837; 288
0.1; 83; 0.59669; -0.698565; 0.774718; -0.774712; 1,23967; 326; 0.774716; -0.774716; 1,23967; 480
0.1; 84; 0.0163976; 0.391626; 3.51999e-06; 0.774719; 0,619837; 388; 3.01635e-08; 0.774716; 0,619837; 424
0.1; 85; 0.716718; -0.348082; 0.774713; 1.30925e-06; 0,619837; 358; 0.774716; 3.58496e-09; 0,619837; 324
0.1; 86; -0.559518; 0.422299; -0.774716; 0.774716; 1,23967; 368; -0.774716; 0.774716; 1,23967; 404
0.1; 87; 0.619002; -0.302668; 0.774715; 5.31377e-06; 0,619837; 358; 0.774716; 6.9216e-09; 0,619837; 364
0.1; 88; -0.807647; 0.881047; -0.774712; 0.774711; 1,23967; 352; -0.774716; 0.774716; 1,23967; 436
0.1; 89; -0.204856; 0.0355027; 2.43843e-06; 4.6432e-06; 8,75835e-10; 386; -1.09165e-09; -5.38188e-10; 0; 472
0.1; 90; 0.67542; 0.35138; 0.774712; 8.39186e-07; 0,619837; 334; 0.774715; 3.2601e-08; 0,619837; 360
0.1; 91; 0.470432; -0.581857; 0.774717; -0.774716; 1,23967; 358; 0.774716; -0.774716; 1,23967; 660
0.1; 92; 0.0828959; 0.391569; -2.00024e-06; 0.774711; 0,619837; 362; 7.96579e-10; 0.774716; 0,619837; 380
0.1; 93; -0.5429; -0.65009; -0.774711; -0.774712; 1,23967; 342; -0.774716; -0.774716; 1,23967; 560
0.1; 94; 0.964337; 0.0332718; 0.774713; -4.58343e-06; 0,619837; 396; 0.774716; 5.80517e-09; 0,619837; 396
0.1; 95; -0.478342; 0.992507; -0.774716; 0.774722; 1,23967; 378; -0.774716; 0.774716; 1,23967; 600
0.1; 96; 0.930839; 0.116587; 0.774711; -2.45939e-06; 0,619837; 402; 0.774716; -1.94706e-09; 0,619837; 424
0.1; 97; 0.765273; -0.622586; 0.774721; -0.77471; 1,23967; 366; 0.774716; -0.774716; 1,23967; 560
0.1; 98; -0.442257; 0.400716; 3.44605e-06; 0.774715; 0,619837; 388; -1.27899e-07; 0.774716; 0,619837; 460
0.1; 99; 0.693322; 0.712649; 0.774719; 0.774721; 1,23967; 354; 0.774716; 0.774716; 1,23967; 664
0.1; 100; -0.190984; 0.77554; -4.74328e-06; 0.77471; 0,619837; 348; 4.18341e-09; 0.774716; 0,619837; 212
